2026-03-16 15:52:07 | INFO     | app.ml.recommender:100 | Rule candidates: ['Basmati Rice', 'Raita', 'Palak Paneer', 'Dal Tadka', 'Coconut Chutney']
2026-03-16 15:52:07 | INFO     | app.ml.recommender:104 | Cluster peer food IDs: set()
2026-03-16 15:52:07 | INFO     | app.ml.recommender:146 | Top 5 recommendations generated
2026-03-16 15:52:07 | INFO     | app.ml.llm:58 | Sending prompt to claude-sonnet-4-20250514...
2026-03-16 15:52:08 | ERROR    | app.ml.llm:74 | LLM call failed: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CZ6bMgD1fyMmo6PKoCoBv'}
2026-03-16 15:53:15 | INFO     | app.api.meals:27 | User 6 logged Basmati Rice (30.0g)
2026-03-16 15:58:56 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 15:58:59 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 15:58:59 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 15:58:59 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 16:00:08 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 16:00:11 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 16:00:11 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 16:00:11 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 16:01:34 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 16:01:36 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 16:01:36 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 16:01:36 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 16:01:39 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 16:01:39 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 16:01:39 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 16:01:41 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 16:01:41 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 16:01:41 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 16:03:20 | INFO     | main:17 | Shutting down RecommenDISH
2026-03-16 16:03:23 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 16:03:23 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 16:03:23 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 16:03:25 | INFO     | main:14 | Starting RecommenDISH v0.1.0
2026-03-16 16:03:25 | INFO     | app.db.init_db:8 | Database tables created
2026-03-16 16:03:25 | INFO     | app.db.init_db:15 | Foods already seeded, skipping
2026-03-16 16:03:28 | INFO     | main:14 | Starting RecommenDISH v0.1.0
